"Article_ID","Date","Title","Subject","Topic.Code"
26577,"16-Oct-02","142 Clemency Hearings in Illinois Also Revive 142 Cases of Horror","clemency hearings for IL death row inmates",12
29901,"27-Feb-04","For Exercise in New York Futility, Push Button","Unannounced de-activation of pedestrian traffic buttons in NYC.",10
21170,"26-Jun-03","Young Potter Fans See Hero Maturing Along With Them","harry potter fans",28
27578,"18-Aug-00","Charter School's Problems Yield Cautionary Tale","charter school deteriorates",6
40068,"6-May-97","...This Just In . . . Times Square Loses Some Lights . . . For Now . . . . . . . .","Times Square Lights to be replaced by digital version",28
36755,"25-Jan-06","Palestinians Set for Vote And Big Shift","Palestinian elections; Hamas' movement into national politics",19
6043,"14-May-05","For Shipyard and Region, Shock and Vow to Fight","military base closings",16
6347,"10-Apr-03","A SYMBOL CRASHES DOWN","toppling of a statue of Saddam",16
5882,"7-Mar-03","Air Force Academy Investigated 54 Sexual Assaults in 10 Years","sexual assault cases at the USAF acadamy",16
20550,"23-Jan-03","THREATS AND RESPONSES: NERVOUS NEIGHBORS; 
Chaos, or Democracy, in Iraq Could Be Unsettling to Saudis","war in Iraq could pose problems for Saudi Arabia",19
45098,"24-Nov-97","U.S. Pushes Israel for 'Credible' Withdrawal Plan","US wants israel to plan a withdrawal",19
20253,"23-Apr-04","U.S. Appeals Court Restores Sept. 11 Prosecution","Trial of Zacarias Moussaoui.",16
21462,"21-Dec-02","Bloomberg, With Year Inside, Shows What Outsiders Can Do","NYC mayor's first year",24
19132,"19-Jun-05","IRAN MODERATE SAYS HARD-LINERS RIGGED ELECTION","Elections in Iran",19
20837,"20-Nov-03","THE GROUND ZERO MEMORIAL: REACTION; 
8 Designs Confront Many Agendas at Ground Zero","ground zero memorials revealed",21
42277,"22-Apr-96","Dole Concedes Wage Increase Will Win Vote","dole says a minimum wage increase will win",5
27976,"28-Mar-01","Bush Says Rebate Isn't A Substitute For His Tax Plan","Bush rejects Senate's one-time tax rebate as sub for 10 tax-cutting plan",1
28952,"29-Sep-02",": Nancy Reagan, in a Whisper, Fights Bush Over Stem Cells","Stem cell research",3
28945,"25-Sep-02","If Test Scores of Students Swell, So May Superintendents' Wallets","test scores and superintendent bonuses",6
17629,"3-Apr-00","Britain Raises Barriers High Against the Asylum Seekers","British asylum laws",19
26569,"11-Oct-02","Police Confirm Sniper's Link To 7th Killing","sniper attacks",12
30599,"7-Jun-05","Limited Enforcement","Medical use of marijuana, regulation of marijuana",3
45212,"6-Dec-97","Tears and Eulogies","burial of kentucky school shooting victims",6
32218,"10-Jun-98","Signing Bonus Now a Fixture Farther Down the Job Ladder","signing bonuses for jobs",5
31037,"18-Jan-98","U.S. IS REVIEWING BAN ON THE SALE OF ARMS TO CHINA","U.S./China; trade of military equipment",16
22724,"2-Aug-03","Months Before Debut, Movie On Death of Jesus Causes Stir","Passion of the Christ movie",31
23094,"26-Jun-00","NABISCO IN ACCORD TO BE PURCHASED BY PHILIP MORRIS","food industry merger",15
32747,"14-Aug-98","Rare Alliance in the Rockies Strives to Save Open Spaces","Cattlemen and environmentalists struggle to preserve open space in the Rockies",7
37184,"29-Mar-06","Bush Opposes Iraq's Premier, Shiites Report","Bush opposes Iraqi leader",16
7026,"29-Apr-04","COURT HEARS CASE ON U.S. DETAINEES","First hearing of Padilla v. Rumsfeld case regarding arrests and incarceration without trial of terrorism suspects.",16
41781,"28-Feb-96","U.S. SAYS CUBANS KNEW THEY FIRED ON CIVILIAN PLANES","US releases info on cuban plane attacks",19
5579,"13-Apr-01","Collision With China: The Overview; With Crew in U.S., Bush Sharpens Tone Toward China","US Officials more critical of China now that crew returned home",16
21549,"19-Jul-03","California Fray Offers G.O.P. Hope and Peril","California recall drive",24
21255,"26-Nov-04","Watch Where You're Going, Kermit!","Macy's parade.",28
7530,"3-May-03","AFTEREFFECTS: A NATION'S FUTURE; 
U.S. Is Now in Battle for Peace After Winning the War in Iraq","creating a new nation of iraq",16
6421,"23-Oct-03","THE STRUGGLE FOR IRAQ: COUNTERINSURGENCY; 
New Spy Gear Aims to Thwart Attacks in Iraq","New spy gear used in Iraq",16
21408,"8-Nov-01","The 2001 Elections: Strategy; As Democrats Bicker, Bloomberg Era Begins","new mayor takes office",24
42186,"13-Apr-96","Trade Representative Picked As New Commerce Secretary","new commerce secretary",20
20491,"5-Apr-02","BUSH DEMANDS ISRAELI PULLOUT; INSISTS ARAFAT OPPOSE TERROR; POWELL WILL GO TO THE MIDEAST","bush demands israeli withdrawal",19
19299,"4-Jan-03","Killing of U.N. Aide by Israel Bares Rift With Relief Agency","UN aide killed by Israeli soldiers",19
17944,"12-Aug-03","LEADER OF LIBERIA SURRENDERS POWER AND ENTERS EXILE","charles taylor resigns",19
21866,"25-Jan-05","2 SUBWAY LINES CRIPPLED BY FIRE; LONG REPAIR SEEN","Subway accident in New York City",27
19013,"18-Aug-03","Israeli-Arab Talks Over West Bank Stall","mideast peace talks stall",19
20132,"24-Aug-02","GERMANS LAY OUT EARLY QAEDA TIES TO 9/11 HIJACKERS","German investigation into 9/11",16
20373,"20-Nov-05","BUSH, IN BEIJING, FACES A WARINESS ON U.S. CONCERNS","Bush visits China",19
23150,"25-Sep-00","Ex-Chief to Pay Bulk of Claims For Sotheby's","auction houses settlement",15
44154,"14-Nov-96","No Rise Found In Death Rates After Gulf War","gulf war syndrome study",16
20444,"27-Aug-01","U.S. Ready To End Sanctions On India To Build Alliance","Bush to lift sanctions on India to strengthen relations",19
45054,"19-Nov-97","BANKING'S CONSOLIDATION: THE DEAL; $17.1 BILLION DEAL FOR BANK CREATES EAST COAST GIANT","bank merger",15
33671,"5-Jan-99","Eye on the G.O.P. Race","Elizabeth Dole; Red Cross; Presidential Campiagn",20
22702,"28-Jul-02","For Many, Pope's Frailties Now Define Papacy","pope illnesses",31
20119,"9-Jul-02","Career Profiles of 9/11 Dead Arouse Anxiety","career profiles of 9/11 victims",16
22588,"2-Oct-02","Walter Annenberg, 94, Dies; Philanthropist and Publisher","philanthropist dies",30
21484,"16-Mar-04","BLOOMBERG WINS ON SCHOOL TESTS AFTER FIRING FOES","NYC Mayor Bloomberg's use of mayoral power to remove uncooperative members of the School board who resisted his educational reform plans.",24
20591,"20-Apr-04","JORDANIAN KING PUTS OFF MEETING BUSH OVER ISRAEL","Jordanian King's refusal to attend a planned meeting with Bush, in protest of his endorsement of the unilateral Israeli plan to withdraw from the Gaza strip.",19
30565,"20-May-05","KOREANS REPORT EASE IN CLONING FOR STEM CELLS","Korean study says cloning stem cells is easy",3
36109,"3-Nov-99","REDESIGNING NATURE: A special report.;","genetically altered squash",4
27796,"8-Jan-01","For Teenagers, Fast Food Is a Snack, Not a Job","teenagers don't want to work fast-food jobs",5
35987,"19-Oct-99","Study Suggests Cause Of Gulf War Illness","gulf war illness",16
23115,"19-Nov-01","Phillips and Conoco to Form U.S. Gasoline Giant","Oil companies to merge to great largest gasoline retailer",15
43406,"23-Aug-96","S.A.T. Scores Rise, College Board Says","SAT scores",6
23704,"3-Jun-03","DEREGULATING THE MEDIA: THE OVERVIEW; 
REGULATORS EASE RULES GOVERNING MEDIA OWNERSHIP","FCC approves new media ownership rules",17
23923,"15-Jan-02","After the Fall","Bush fainting after choking on a pretzel.",20
29785,"23-Dec-03","California Leads Prosecution Of Employers in Job Deaths","deaths of workers",5
30367,"5-Feb-05","Owner of Garden Outbids Jets For Site of Proposed Stadium","Madison Square Garden owner buying proposed New York Stadium",14
22193,"4-May-02","Louisville's Day at the Races","horse racing",29
25409,"8-Mar-03","Schumer and Clinton Vie to Share Spotlight","competition between NY senators",20
31447,"11-Mar-98","High Schools Fear Telling Colleges All About Johnny","Fear of litigation by parents makes high school guidance counselor cautious in college recommendations",6
29161,"21-Jan-03","BARRING WEB USE AFTER WEB CRIME","barring internet criminals from using the internet",12
23464,"6-Jul-01","Technology; Companies in U.S. Profiting From Surge In Internet Gambling","American companies turning to overseas casinos to profit from online gambling",15
23660,"23-Jul-04","AT&T Won't Seek New Residential Customers","AT&T's withdrawal from the residential-phone business.",17
6438,"3-Dec-03","In Baghdad, Off With His Heads","Iraqi workers dismantle giant busts of Saddam Hussein",16
32944,"6-Sep-98","END OF A GHETTO: A special report.;","Housing project to be cleared and new replaced with smaller developments",14
32008,"15-May-98","House Votes to Bar Religious Abuses Abroad","house votes to punish countries that persecute people for religious beliefs",19
32370,"27-Jun-98","INTERNATIONAL BUSINESS;","Japanese banking crisis",19
38439,"29-Sep-06","Pirro &amp; Pirro, a Partnership Of Love, Power and Distrust","Federal investigation of wiretapping of New York attorney general candidate Jeanine Pirro",24
45031,"17-Nov-97","Gang Gunfire May Chase Chicago Children From Their School","violence and a chicago school",6
22867,"3-May-02","Child Rape Charges Filed Against Priest","priest abuse scandal",31
17582,"15-Oct-00","How Yugoslavia Won Fight for Change","Yugoslavia's revolution",19
31057,"21-Jan-98","Whitman Urges Funds for Cities And Open Land","NJ Governor Whitman plans to rebuild neighborhoods and protect farmland",24
24301,"4-Feb-00","McCAIN ON BALLOT ACROSS NEW YORK AS PATAKI GIVES IN","McCain gets ballot access in NY",20
6840,"18-Jun-03","Uneasiness in Iraq","US soldier killed in Iraq",16
33981,"14-Feb-99","CLINTON PROPOSES FORCE FOR KOSOVO; CITES U.S. INTEREST","US to send troops to Kosovo to join NATO peacekeeping force",16
7686,"15-Dec-05","Iraqis Open Vote for Parliament; An Islamist-Secular Split Is Seen","Iraqi election",19
21158,"23-Apr-03","Editors' Note; 
SPECIAL TODAY -- Museums","art in Los Angeles",28
24512,"26-Sep-00","THE 2000 CAMPAIGN: THE CONNECTICUT RACE;
In Lieberman's Own Party, Pressure to Exit Senate Race","some want lieberman to exit senate race",20
40728,"26-Jul-97","Former Leaders Of G.O.P. Vary On Donations","One republican national chairman contradicts another in campaign finance issue",20
21528,"15-Oct-05","Awash in Cash, Mayor Swamps Ferrer With Ads","NYC mayoral election",24
29295,"29-Apr-03","In Twist, Defendant Admits to Stabbing In Crown Hts. in '91","trial of a black man accused of stabbing a Jew",2
19663,"20-Feb-03","THREATS AND RESPONSES: DOMESTIC SECURITY; 
Reshaping Message on Terror, Ridge Urges Calm With Caution","ridge tries to calm public over terror",19
19429,"23-Oct-01","A Nation Challenged: The Disease; 2 Workers Die and 2 Are Ill At Capitol's Postal Center; Inhaled Anthrax Indicated","two postal workers die of anthrax",16
19042,"11-Jan-01","Sharon Opens His Campaign; U.S. Diplomat Puts Off Trip","Sharon kicks off Israeli Prime Minister campaign",19
20645,"29-Jul-03","Gay-Themed TV Gaining a Wider Audience","gay tv gains wider audience",2
41770,"27-Feb-96","POLITICS: BOB DOLE; With Dole Campaign Off Track, He Puts 2 Advisers Off the Team","bob dole campaign shakeup",20
33500,"13-Dec-98","TESTING OF A PRESIDENT: THE PENALTY;","Impeachment:  speaker-designate says censure is not an option",20
7931,"1-Mar-04","Iraqi Oil Industry Rebounds","Recovery of the Iraqi oil industry.",19
27554,"30-Jul-00","Identity Restored to 100,000 Louisiana Slaves","Lousisiana slave names",2
37764,"21-Jun-06","ALBANY'S IMPASSE ENDS WITH A RUSH","New York legislature ends session with a number of new bills",24
7890,"11-May-03","AFTEREFFECTS: SHIITE LEADERSHIP; 
Back in Iraq, A Cleric Urges Islamic Rules","Shiite cleric calls for islamic rule in iraq",19
27538,"19-Jul-00","SENATE APPROVES TAX CUT TO HELP MARRIED COUPLES","new tax cut",1
40698,"22-Jul-97","Few Options or Safeguards In a City's Juvenile Courts","Juvenille courts considered overwhelmed and ineffective",12
31837,"26-Apr-98","Tobacco Town Changing Image As Reports on Smoking Darken","Winston-Salem changing its self-image as a tobacco town as report darken on the harmfulness of smoking",3
7307,"31-Jul-04","HIGH QAEDA AIDE RETRACTED CLAIM OF LINK WITH IRAQ","Retraction by captured Al Qaeda member of testimony linking the organization with Iraq.",16
31377,"3-Mar-98","Many in Sudan Tire of War Without End","Sudan tires of war between Arabs and Christians",19
43838,"11-Oct-96","PLAYOFFS; Boy Who Saved the Yankees Becomes a Man About Town","baseball",29
44814,"24-Oct-97","THE ASIAN CRISIS: THE SELLOFF; A Plunge in Hong Kong Shakes Markets","asian stock markets decline",19
41302,"7-Jan-96","South African Democracy Stumbles on Old Rivalry","political violence in south africa",19
27601,"29-Aug-00","New Study Questions Blood Pressure Drug","blood pressure drug study",3
7537,"26-May-03","AFTER THE WAR: THE POLITICAL SCENE; 
IRAQIS FRUSTRATED BY SHIFT FAVORING U.S.-BRITISH RULE","Iraqis angry about shift towards US rule in Iraq",16
42842,"22-Jun-96","Serb Gangs Rule in Last-Chance Fief of U.N.","UN involvement in Eastern Slavonia",19
26045,"17-Jun-00","A Volatile Mixture Exploded Into Rampage in Central Park","central park attacks",12
17464,"28-Dec-02","Suicide Bombers Kill at Least 46 At Chechen Government Offices","suicide bombing in chechnya",19
41518,"30-Jan-96","PATAKI IS SEEKING CURBING OF RIGHTS OF CRIME SUSPECTS","new york governor and crime",24
39958,"22-Apr-97","Site of Fatal Fire Had Illegal Apartments","Fatal fire in Queens, New York",27
30907,"2-Jan-98","INTERNATIONAL BUSINESS;","South Korea; international loans",19
42752,"12-Jun-96","Mayor and Council Hold Strings For $276 Million Schools Pledge","Giuliani plans government intervention in NY schools",6
43565,"11-Sep-96","Russian Power Shift For Yeltsin's Surgery","boris yeltsin has surgery",19
